,Sequence_198,Sequence_197,Sequence_196,Sequence_195,Sequence_194,Sequence_193,Sequence_192,Sequence_191,Sequence_190,Sequence_189,Sequence_188,Sequence_187,Sequence_186,Sequence_185,Sequence_184,Sequence_183,Sequence_182,Sequence_181,Sequence_180,Sequence_179,Sequence_178,Sequence_177,Sequence_176,Sequence_175,Sequence_174,Sequence_173,Sequence_172,Sequence_171,Sequence_170,Sequence_169,Sequence_168,Sequence_167,Sequence_166,Sequence_165,Sequence_164,Sequence_163,Sequence_162,Sequence_161,Sequence_160,Sequence_159,Sequence_158,Sequence_157,Sequence_156,Sequence_155,Sequence_154,Sequence_153,Sequence_152,Sequence_151,Sequence_150,Sequence_149,Sequence_148,Sequence_147,Sequence_146,Sequence_145,Sequence_144,Sequence_143,Sequence_142,Sequence_141,Sequence_140,Sequence_139,Sequence_138,Sequence_137,Sequence_136,Sequence_135,Sequence_134,Sequence_133,Sequence_132,Sequence_131,Sequence_130,Sequence_129,Sequence_128,Sequence_127,Sequence_126,Sequence_125,Sequence_124,Sequence_123,Sequence_122,Sequence_121,Sequence_120,Sequence_119,Sequence_118,Sequence_117,Sequence_116,Sequence_115,Sequence_114,Sequence_113,Sequence_112,Sequence_111,Sequence_110,Sequence_109,Sequence_108,Sequence_107,Sequence_106,Sequence_105,Sequence_104,Sequence_103,Sequence_102,Sequence_101,Sequence_100,Sequence_99,Sequence_98,Sequence_97,Sequence_96,Sequence_95,Sequence_94,Sequence_93,Sequence_92,Sequence_91,Sequence_90,Sequence_89,Sequence_88,Sequence_87,Sequence_86,Sequence_85,Sequence_84,Sequence_83,Sequence_82,Sequence_81,Sequence_80,Sequence_79,Sequence_78,Sequence_77,Sequence_76,Sequence_75,Sequence_74,Sequence_73,Sequence_72,Sequence_71,Sequence_70,Sequence_69,Sequence_68,Sequence_67,Sequence_66,Sequence_65,Sequence_64,Sequence_63,Sequence_62,Sequence_61,Sequence_60,Sequence_59,Sequence_58,Sequence_57,Sequence_56,Sequence_55,Sequence_54,Sequence_53,Sequence_52,Sequence_51,Sequence_50,Sequence_49,Sequence_48,Sequence_47,Sequence_46,Sequence_45,Sequence_44,Sequence_43,Sequence_42,Sequence_41,Sequence_40,Sequence_39,Sequence_38,Sequence_37,Sequence_36,Sequence_35,Sequence_34,Sequence_33,Sequence_32,Sequence_31,Sequence_30,Sequence_29,Sequence_28,Sequence_27,Sequence_26,Sequence_25,Sequence_24,Sequence_23,Sequence_22,Sequence_21,Sequence_20,Sequence_19,Sequence_18,Sequence_17,Sequence_16,Sequence_15,Sequence_14,Sequence_13,Sequence_12,Sequence_11,Sequence_10,Sequence_9,Sequence_8,Sequence_7,Sequence_6,Sequence_5,Sequence_4,Sequence_3,Sequence_2
Sequence_45,4.48108934,56.32910009,46.61944487,11.30388388,3.76537693,3.46407564,47.61350101,51.84073869,2.76072183,5.41650313,4.93499524,42.65642345,2.7192691,52.64250225,6.9879167,5.86848082,41.13570451,45.7500858,49.96480724,18.44856374,3.03247479,5.40627516,4.41692487,2.68506054,6.1293028,44.20848568,27.89872643,30.82466106,8.35834982,39.99636961,45.30758536,45.71112125,36.95375659,5.44771673,47.91859219,4.82850727,44.83197178,4.83199035,49.31080106,6.485801,8.61828197,6.4187172,4.54534648,5.72167464,2.71872649,6.24488198,44.60836,43.47848431,50.712682,50.67870537,5.30836774,5.59448716,5.52378756,50.33648707,5.86656854,7.50064455,17.91709768,3.54614964,6.63112099,47.29919166,21.60952435,21.37162744,48.73892601,9.59351091,50.51057871,47.17858246,50.2378237,50.93343316,7.93599879,49.1178719,48.2219866,49.25255573,38.62597336,51.21282382,6.42386102,47.66993587,48.94983342,7.20547897,7.53373229,50.93824747,4.5315067,7.63469684,6.23074544,9.70554058,44.9509526,45.00876098,16.51044672,15.20339334,16.64028715,16.58213437,51.53252082,16.63526042,6.70851426,49.87485637,15.61831483,15.08728297,53.73169784,49.09938611,6.97762252,11.64555333,51.58157271,9.76504309,50.25589709,50.83496229,6.15150605,5.98194878,12.20318725,52.4652265,4.89498524,51.34921985,8.02002187,8.09833932,45.8944136,49.11488744,48.02089283,20.65118744,7.61965395,11.27678556,12.35405059,3.57216659,3.06037435,5.08934519,4.29728551,52.13932425,7.46323774,8.66055397,28.72656581,8.1507993,11.36765207,6.40759776,6.33303677,15.5864966,9.46122967,46.89537826,41.67821094,47.75572362,46.94619847,52.5392719,44.92019634,50.27371703,10.53993695,15.08880522,11.92197403,6.68435666,48.12216019,48.40394148,50.14752721,6.42037632,15.59739976,11.3533574,11.84939208,5.23786257,0.05800364,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_44,1.66772467,13.06295408,49.16486164,3.93812908,7.74643428,6.26478502,2.92884988,5.06730781,10.56959727,50.02109706,48.73378234,6.30816553,5.67605521,47.91806527,6.45275664,6.12715783,5.45778149,7.94296122,2.98471617,14.93184965,5.87339152,49.24399875,43.28434366,4.95933039,1.82638075,11.72743712,4.43104555,4.72341957,9.10913624,6.08647938,7.21083377,5.20878164,6.58697688,3.94839548,32.18716715,6.21162371,47.83947504,7.34451418,19.08538514,4.01730877,4.18125445,3.34538371,48.87591354,49.74814162,3.39481369,3.87999454,4.52536469,5.04616221,5.86045442,7.63284156,8.89330369,10.06888696,9.46779606,4.76627884,3.65089875,3.42648049,53.92378376,48.04517512,57.66710687,8.508094,53.78297454,53.74046003,4.83577569,5.03404727,8.82114812,4.75685105,17.48520338,3.78795159,48.94904644,5.94265423,7.08855565,4.93600839,13.36929565,6.20074268,43.45211384,19.90179341,7.15495246,40.73984469,47.83091085,40.86702743,36.59388077,2.57597724,52.43666228,53.23592546,9.33285906,8.63079629,3.68502522,3.4784895,2.90077231,3.60001362,6.39214613,4.40467262,52.23681121,5.63183947,6.06240569,5.33034502,3.26936491,46.32684314,4.63034861,8.16131336,4.433811,2.81985019,3.1659146,47.68988095,8.86367869,8.84197601,6.39828625,4.31780778,53.25590381,3.79097248,47.42153571,51.89955581,50.3860248,3.14117689,46.51892083,51.15081794,33.86208664,50.86384855,7.24293498,52.14729574,52.11361544,50.16183993,11.60875649,3.43038893,40.17324362,13.03297279,52.61649286,51.92340396,10.17460253,49.66454498,53.51863141,10.38186193,46.09914277,49.16716652,9.49841827,50.32376103,49.25957626,6.41208749,33.95424323,46.0387569,53.24352699,10.9446404,47.5242427,53.83596496,37.80037871,48.00111223,6.94815684,47.96100475,40.75265074,48.85427383,48.99315466,53.37946746,49.88370378,49.88370378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_43,2.69862705,52.86025265,10.33545054,3.08468034,7.18654787,6.67567122,2.49398418,5.13877894,54.09226956,48.83994242,49.10694005,7.25212196,4.43299578,54.23497096,47.65374275,52.81889774,53.89209312,9.47030018,5.00563766,52.06239911,3.13671905,54.02202132,54.36475318,6.70986909,50.78222846,58.56522435,7.26517527,11.33368437,53.75863134,3.62238798,49.65258469,8.73649632,4.82191931,14.21230765,50.49505651,51.82053142,46.39525166,8.68089831,49.3419196,52.87370557,54.23100296,7.69375709,45.86087956,44.75809701,2.7778012,6.83434396,8.93811151,11.77026946,55.21957842,5.94497673,50.04710337,50.03594579,50.09901915,52.27155505,52.58347955,52.80726234,53.46194389,53.01050531,58.58097843,2.94147719,53.4718681,55.71440641,50.72253085,54.6167919,42.59540323,49.38127843,50.23795055,53.03490347,53.0034006,49.40514129,7.36473122,49.39794926,3.4349983,49.95357445,51.79124524,53.60798939,2.77329637,1.86514411,53.43537922,53.7895461,5.1565231,4.42706847,12.28050729,54.54230068,50.16050885,50.74284256,53.39284189,53.47717702,53.22655089,53.40791053,46.21704455,6.4190681,50.95643234,12.15102761,3.95795181,3.98168462,52.61756384,51.50508437,6.09655593,12.17885723,51.30996174,50.57130895,49.77569485,55.01883869,52.59582465,53.10140977,54.51630208,6.12397649,54.39242872,20.28658912,51.05906729,25.00444337,5.50464859,5.60280847,51.60333406,52.79152826,49.15757869,52.01166588,8.48286695,7.17915551,7.67799286,8.2875759,6.24943112,10.11920427,46.63412464,50.16032887,54.08296378,8.04916845,53.00730163,53.16490042,9.05745143,51.51059128,9.20629187,7.31156486,5.48270976,11.56080247,7.2618056,48.64371949,45.91067337,47.10806355,8.40089952,51.96834151,50.50111448,52.54261148,48.81742393,45.55468025,6.35783889,51.35749793,50.72457446,48.86026036,49.12945028,50.94238686,14.76798883,14.28185782,51.44043745,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_42,3.98675492,6.56558263,50.51855123,18.22376811,51.47532758,51.54967907,4.90488248,42.1338994,5.05505622,47.34738157,49.63560376,5.39372118,5.10931705,9.66257634,48.36158467,48.45981096,1.52326918,10.00570965,3.24452446,5.13384265,44.93584269,47.58921603,39.61954291,3.11757706,7.25866616,3.22935506,3.59860015,2.68001778,4.97516692,3.4862329,3.20241431,2.3369873,3.61033491,52.2657348,3.47296835,3.50225967,2.89331723,49.25955065,2.67952203,5.2332542,4.25371201,3.86462474,50.05215011,49.17872341,43.65901115,38.55480851,3.01895259,3.24212174,3.28371305,3.1543542,2.50423205,2.82216452,2.64505298,2.07147141,52.98175469,9.84730798,54.43024931,48.75229514,52.75598847,43.79884289,54.23387452,54.3385701,5.99797298,55.17536108,2.59521115,3.65550335,6.03078519,3.52629503,49.5299998,3.35266289,2.851541,3.27434419,8.22754556,2.40361907,43.53926605,2.53318216,3.06236819,33.66378263,20.31665036,5.20080471,5.85328673,6.50266339,47.18040819,51.5792831,3.91618305,4.36881486,51.02128836,?,51.08609691,51.17972172,8.7746749,37.09673915,50.42487683,2.04031364,7.3316175,7.30920777,6.04465139,24.13035543,46.50031906,52.10890902,4.18192269,7.88852754,12.111064,44.52008995,42.15924763,42.27253089,9.6454401,10.88808714,51.61139225,6.67090676,43.62522037,51.87367782,2.60120196,6.89681755,8.79998971,3.21132069,46.4619802,47.31350318,46.03483849,48.68764024,48.56395631,48.16054141,48.5964777,8.60518783,48.71665255,43.01580125,3.62744228,5.57462762,46.17818159,51.10390738,50.24115376,46.01763674,7.56926714,5.61690203,45.0584113,6.91146733,5.3676325,11.83606194,18.22995142,7.91693117,51.24337023,47.32503211,42.79758909,53.53438484,3.00481753,39.5679398,5.21741156,47.18058992,48.00692099,4.1525208,3.6936106,51.36184336,48.27983656,48.27983656,46.15902362,49.69835968,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_41,5.84729772,55.49980634,49.76126535,12.50261094,52.31787492,51.63813157,8.5288506,46.5161732,1.5790901,50.17627346,47.85831588,3.89573744,2.76394575,49.65723773,5.10125147,41.11524396,3.39108267,2.8473475,5.11221449,5.29902447,48.12872439,6.58362648,41.08411246,20.25422497,16.28859599,3.25405204,43.76371341,43.30175814,3.56231904,6.67241757,3.76898073,4.72156035,6.00732002,54.54374625,5.94337218,5.66390711,47.03360466,50.18497263,8.07523244,53.68500644,52.93695067,20.85789287,50.58041276,51.47043193,5.01564238,7.48399416,24.34352295,40.54584256,17.06141869,10.09487864,2.71006595,2.66796713,2.66468051,2.47562156,51.83714321,51.35339439,52.36234692,45.6869899,54.76977045,10.47393251,52.73787252,52.62416515,3.61257584,55.2396774,13.56788363,10.35178084,4.28113982,16.88266296,48.90766054,3.89814098,8.28769625,8.89028618,10.61892238,6.58285601,6.00469472,4.88694301,6.81411038,38.52018431,4.09362528,41.94410231,39.99641545,4.72866935,52.4730384,51.20836853,3.06610032,2.70308499,2.67933553,3.32745652,3.01745901,3.02366795,5.29891652,4.68156014,19.8639389,40.20198396,3.66642846,3.80021244,2.58200637,11.47028049,48.44004735,4.19687016,8.37660378,44.38453479,5.51853529,49.21063176,54.20622524,54.21621573,52.74021794,53.34358672,52.94225258,6.68336622,46.77184946,10.04830205,50.68733586,3.34499339,46.85426866,50.30692188,5.56892536,50.56291518,50.87629603,10.32763423,8.71288099,10.15244528,51.72125135,52.5897141,7.05270303,48.0213517,53.20515594,15.04615383,7.24854395,53.94281804,7.90650803,10.26996724,46.2658478,48.21182088,50.34977759,49.95364387,48.32469173,51.18312217,39.13291403,41.30381844,51.96261906,9.39919049,9.2070959,11.03040993,6.59983084,48.36291408,49.18812493,50.6183158,49.06810111,46.86533087,47.56382916,51.80346201,8.59933475,8.76174978,6.48398834,52.33903015,47.07557498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_40,8.83571407,56.18269692,51.81614994,7.25133754,48.44658626,44.42600865,43.98678219,5.8112661,7.88239276,51.02295976,49.47452962,7.76922317,9.99041409,38.82172147,44.16256483,18.46138433,3.60993657,31.69813558,2.93297926,5.508522,1.86573252,4.6593923,7.24135791,5.49598694,39.48598227,4.5696009,47.5113655,44.97082856,86.73064816,4.20901524,4.37318886,3.86869766,4.17272886,54.53724144,11.81298408,12.23410438,6.37346356,43.34184814,36.52533633,53.22881047,53.68200167,7.01360462,52.75121894,53.3851868,12.67219063,9.13594623,4.44533185,4.71304482,43.10708037,11.56041673,10.5363635,10.09363437,11.8751342,29.71966087,4.43141303,3.45402321,50.39747303,5.2934739,6.24332253,35.17854818,50.95782454,50.97141483,2.79260496,53.4994024,41.72042348,12.67330753,33.11752646,7.77995655,51.40790846,5.90826719,44.16695222,46.15089193,8.82579439,40.47901744,3.56199196,8.16820343,47.92990081,7.04810057,3.93781161,4.08344879,53.33480424,5.2615282,52.70529904,51.46180068,3.38140783,3.50784001,4.4096392,4.41986535,4.59570777,4.12708701,52.05158995,5.87184911,51.78390183,6.89479078,25.25869016,26.39448566,8.50316424,9.50600026,16.11121188,55.37468913,5.76738693,46.35002538,7.04047209,53.54740167,51.2664525,51.28146549,50.22308945,51.5913567,8.19455441,8.69843089,48.93707754,14.06178877,44.62986235,50.96896188,42.29383307,49.56954687,11.26361833,49.3187345,46.075043,9.89302058,9.26462959,11.36504761,9.49898012,52.52282179,12.07282941,35.85282838,51.70340704,49.40949532,11.79824431,51.06292393,14.71196795,16.20073499,42.87282866,45.81627893,47.93229748,45.40211392,45.95110656,37.43448736,49.48168191,51.1864476,51.07246115,13.65406921,12.87478468,13.1120979,48.53958043,48.6215322,35.70112758,51.21517395,26.84062041,49.9952044,49.57471509,8.82701273,7.20671669,7.20605946,50.24787743,51.75273991,47.50164062,6.18078821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_39,48.319333,54.48602429,7.05861423,2.54543491,8.10297398,7.74416633,46.52926123,51.08118434,44.40513059,3.45594778,4.47423682,48.10705636,48.18574361,44.49570541,6.69175271,5.68786007,3.81168797,47.23217665,3.94665421,9.78541428,49.18028968,39.24357659,8.14842413,48.76229062,48.17668242,7.5460582,7.49270957,7.55776665,52.7841702,8.82215357,45.94432169,46.60987806,8.87638908,5.24629406,47.45820767,13.73743559,11.03902571,8.54381405,14.89111142,52.28729969,52.022221,50.48507178,4.47533137,4.2540987,44.37284812,48.35641814,45.73435602,47.55817483,47.9100607,45.84190407,43.62061146,40.27973689,40.88673085,8.45878463,51.25084338,51.50611985,11.08555422,8.01077419,2.82541102,45.4922508,10.787707,10.70701607,46.63553264,56.01503318,39.90985299,42.1127578,9.28308039,12.93974689,4.30903809,44.96069585,8.40621638,5.14753033,5.26860178,47.2032326,4.6666771,43.50562401,4.02160096,47.84720209,5.46908896,46.43350767,8.81971434,42.24923956,8.82094832,8.45411505,3.1102812,2.86669706,50.4354547,3.34916045,8.04138965,?,46.02095326,6.05043835,7.50986397,49.35375733,50.89961998,51.036109,5.15971024,48.53059257,48.91863818,52.36881013,41.67199022,50.81976875,6.47447446,45.99822497,11.37180079,11.29177816,52.96314378,51.25259179,9.01794777,6.71966868,8.73331207,9.91249319,6.34975347,51.9422116,50.23933294,51.71390145,5.79686673,9.72092216,9.24052645,5.75852174,5.20876553,6.316641,4.7191887,50.64480098,6.96841449,6.07989422,51.07425808,49.40050905,5.29895909,6.45327251,5.91227849,7.17775208,8.84281283,48.71940251,49.17173253,50.79197805,48.81470615,53.50629713,45.75797676,48.62065741,12.75475015,6.47151264,5.46987773,15.64513906,47.6970475,11.00151295,41.63926387,10.88104004,7.57682923,9.14228749,9.20649017,4.63540231,8.03471966,7.99471992,51.69015499,49.13636393,45.09174689,51.96404958,9.90304644,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_38,7.3992342,30.54610498,10.55891515,11.19970537,52.46962983,51.50091032,7.33606927,40.31506899,3.31099137,10.28602416,45.80459943,4.99160367,1.13428825,2.73523491,47.05593104,46.44322015,2.22604559,2.98148226,51.15833218,52.75477645,46.34027983,48.97024998,43.76496809,6.52489272,5.91985784,4.69694198,5.01173922,3.30148514,52.07819041,5.95860257,4.69085647,3.37278427,5.79097963,9.24512747,2.57423246,54.3107337,5.07507195,50.25550204,2.99758884,51.72959828,51.95036652,46.75561809,47.22987293,44.01100734,39.19299808,52.83606074,6.06050031,7.69080392,53.940909,9.49295746,53.3103017,53.53489841,53.54830906,6.98361047,51.16471516,51.03045885,8.09922932,14.72150257,5.18710879,9.8287108,8.66594531,8.63843803,52.72971533,2.14811691,6.68162702,53.7856975,51.71165914,53.57893914,55.92184259,52.47322442,6.28819134,21.20417363,9.06885507,5.24718615,49.15558713,41.40981403,4.72302594,10.12602667,14.37782454,51.85052895,6.00334808,52.45926002,55.61943141,26.65400523,49.81858839,49.82416759,4.95815704,4.24672585,4.40426388,4.55581062,11.27235241,10.55239509,54.01814151,7.0552485,5.16884342,5.22635394,50.35338101,48.46945052,12.52316829,52.61615964,3.9244504,49.19307941,4.61220573,52.73987786,13.16681768,13.10974443,6.34978421,4.12310756,53.65955885,4.730304,49.46049803,49.79127601,7.91120657,6.39557814,41.01119369,7.80619237,51.23065755,52.3481758,42.52053111,41.10098194,41.81947978,51.16532709,47.96057321,1.97103441,50.75127141,45.02710672,3.82668866,46.16490039,7.20163068,9.76167043,55.73557888,8.19924141,12.39050552,6.55366455,17.4292632,8.81390736,6.47287539,52.27599224,59.21803645,51.74804313,50.84225763,8.7657525,13.01834545,2.80950765,5.08434357,45.690298,48.56321844,6.99556605,51.45889978,45.61591478,46.21977526,50.85672779,14.39118129,14.39118129,51.76820398,51.86456193,50.2396388,6.66776625,49.21640633,51.66624187,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_37,41.70389813,53.38372189,48.99244078,45.80178994,7.64002152,7.18795904,45.66738602,49.13137974,2.75409184,3.14416943,1.87707697,47.06637997,48.97043307,48.32215017,4.54371691,6.61698959,3.13966422,2.84603045,5.51493524,3.2463565,47.36339432,45.8531497,44.05860491,46.08903256,44.60467707,43.94994943,40.97534018,43.05109896,42.76208282,41.52463454,46.06273121,45.84677081,39.64567068,52.61830796,45.78503739,15.98616425,48.38890548,7.479856,4.06528202,44.23017868,44.48181359,45.75268746,2.57489879,3.71015035,3.88603184,4.4001818,6.98091929,45.62668068,45.86586358,13.47365554,3.37835582,3.22253685,3.22060241,39.15046635,44.68399503,44.44807422,4.85071522,4.60722699,50.13562669,45.6630924,5.58891963,5.48067617,45.92337111,7.26566144,36.66439753,42.14341569,43.66410557,17.03692292,7.98653861,46.04294046,5.6064374,43.422568,43.32766014,43.37292475,6.02276376,37.93937631,4.42371279,41.15428481,46.39711416,8.7769502,7.27609465,45.40024145,9.30573559,5.35148621,44.72808056,44.85199041,46.13889435,47.46062295,46.16358634,46.2530716,52.97030961,46.68532781,6.35363339,48.24985037,8.46140245,8.93300642,50.96549524,47.54082287,49.2216737,49.95735683,53.25152075,47.68247149,53.16983334,48.95290651,5.30621974,5.80400023,11.12191614,6.39227395,12.36128515,55.83107957,7.81529241,11.04385009,44.00972736,48.90703957,7.54359768,47.48465534,9.00215423,9.22571015,9.26626825,7.40462261,6.48839187,8.94909159,9.18746423,11.6959879,8.44464968,6.61196892,52.41894681,52.10064573,12.81368909,9.26292783,8.35621838,13.33810341,5.80866288,42.35276111,49.43607052,47.43451886,42.76784831,49.97231581,18.5087305,45.26417429,5.32691888,11.50490102,7.96240752,6.48741047,6.06650112,44.03197321,45.70969896,3.87772926,6.8987772,7.14084296,7.53949493,11.15784305,7.0634969,6.96336081,47.12169082,49.47003581,13.09837536,43.9369198,49.2862839,11.53053711,6.27780587,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_36,42.39866171,53.26434892,49.16627081,46.06917436,7.66344023,7.20837473,45.88361476,48.91612425,2.77921793,3.35316532,2.10169876,47.22963784,51.80490844,47.95071308,4.50850701,6.69829411,2.28078819,2.76113769,4.08504972,2.77473366,47.00719203,45.96489938,44.2401869,46.30109476,44.83802856,44.20103504,41.48462831,43.39463198,42.22668958,41.73661341,46.29745972,46.02722861,39.85540487,54.21711081,7.46714466,9.06866612,48.52111339,7.2006907,3.79011107,43.84819668,44.10195619,45.39333429,2.36730775,3.59946045,3.89552581,5.52265248,5.56665686,46.41530868,45.58124215,10.01152835,2.98749425,2.78505847,2.78218023,37.55072206,44.41081013,44.13687888,4.43919968,5.00006633,50.11141822,45.3610735,5.07731571,4.92637482,45.40613403,7.13760034,35.53867489,41.67086032,43.36365435,13.39685999,8.09679494,45.75957783,5.09094065,42.75940087,42.57367186,42.9143369,5.04739952,36.31776297,3.74546712,40.06469044,46.2454283,8.65118433,7.63475702,44.83698413,8.59593984,4.95999516,44.3765471,44.5118974,45.86578443,47.27749114,45.89770122,45.99179201,53.07127614,46.50518758,5.66872378,48.11176978,7.40424434,7.81488776,50.88179791,46.92955801,49.14230937,56.79310809,53.24632376,47.93939211,55.97393367,48.49114732,4.84019784,5.3376281,10.36951327,6.02203176,11.93669163,8.55759706,7.06882414,10.70791967,43.11122086,48.87073381,6.77345736,47.41959873,8.62058532,8.55633874,8.76353295,6.8249698,5.8083247,8.55012169,8.98019809,11.23046886,8.07595245,6.21640095,52.15122899,52.0845796,12.5706226,9.77333897,7.90096229,13.11014021,5.32540296,41.92074648,49.29352459,47.32415021,42.37308177,49.80073059,16.87727157,45.10195931,5.23105766,11.2530682,7.78317508,6.42252325,5.67555277,43.74948068,45.53384793,3.690335,6.40585112,6.87009383,7.2748073,10.91937143,7.29349834,7.18993427,47.03753154,49.50156272,12.20547486,43.78532596,49.19745295,11.30381109,6.02140909,0.04962563,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_35,2.16837673,53.25121475,50.1647592,45.8951169,7.96297081,7.47480107,45.85896667,48.92035314,1.96074437,2.93947963,1.79946511,47.15583164,47.13368075,48.29158818,4.65689185,8.58483372,3.35745432,2.11715916,3.88673116,2.37304116,47.45271053,46.7782659,46.63790318,46.3880885,45.7110292,44.16888752,41.94159094,43.65302756,42.65890455,41.78721887,46.1688422,45.51019404,40.61724916,54.31346866,6.68285855,10.04925921,48.518619,7.58402201,3.44992774,44.27053198,43.80664667,45.82696438,2.69681013,3.94528152,4.47742442,37.49275378,4.08523664,7.65517106,46.05765467,10.96642753,3.34843139,3.42013486,3.30455068,39.18570091,44.65518216,44.36719285,4.34020486,4.65647817,49.99697092,45.93278279,4.88067471,4.73426308,45.11234974,7.21061501,34.61257825,41.39787576,54.96933385,11.73299941,8.01335812,45.58312637,4.90058668,42.93746336,35.67329516,43.60676448,5.33819023,37.86340176,3.19956904,5.2492108,44.38199976,8.07547761,7.31042943,44.70658,9.46129378,5.03960598,44.27322396,44.4198631,45.83849906,47.31595561,45.87636631,45.96781837,53.33757754,46.90776228,6.5798515,48.19173886,8.23483754,8.94157364,51.12396097,46.77618826,49.9894605,50.09307319,53.02531122,49.17949747,52.42476107,48.72413614,6.6556402,7.17086277,50.4103196,43.52679227,11.4499396,52.36233289,7.6279734,10.85412895,41.73340867,51.74057606,6.80567015,47.39808225,7.81873081,7.9918793,9.47172462,6.49710397,5.29541757,8.82813926,8.49670737,44.9108519,7.49835809,8.93694474,49.04616498,51.93082663,12.55626001,7.1290417,7.7578856,11.99013751,6.1984193,8.393886,48.53688514,47.29993864,49.20517721,49.19891111,45.12714523,45.61536124,3.5682922,10.356415,9.75530181,7.6839194,9.64854322,43.10385554,41.73071106,3.52392222,7.1518897,6.18252589,6.51017238,9.51258506,7.39272548,7.22046259,50.72750423,48.70125942,7.7488949,49.70039151,49.67120444,10.24545675,43.84540375,0.44820004,0.36720327,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sequence_34,49.43972935,55.25190197,22.58738259,7.38307838,6.63647327,6.17626748,55.07223004,43.86259643,47.23497055,6.90193241,5.9295143,50.11250746,50.32328159,9.46841344,6.22946885,16.73488778,47.40485583,50.19839839,10.72221573,45.10656578,46.65047371,10.76929169,46.22927056,48.62327652,51.22967478,50.19126833,49.7091744,49.48893997,12.80367756,50.58230354,49.97480866,48.06195248,50.60814345,56.61623501,12.47814231,43.84159384,12.1951282,6.30405112,45.72108148,8.01827303,10.44494102,41.67817339,7.83878928,8.34615344,51.23754231,49.81158689,9.87293641,42.93919628,48.31635156,45.43640682,47.28362219,47.13908647,47.28038526,42.59984973,16.67894278,16.68217667,8.08803031,9.62016203,53.77247347,47.91134239,6.50554142,6.437856,17.28273418,56.69796141,43.22419065,45.11978018,43.35132968,44.26328446,4.37870758,48.88621036,46.02099972,48.35343534,3.742665,46.95184556,8.80652515,50.03910134,46.64693955,48.70573648,43.14914812,49.25032213,8.46822888,44.06666108,6.0324147,8.83554116,50.02179484,50.19144749,53.24144985,53.00998509,53.12874445,53.13309976,50.68712162,49.06473287,6.10548664,46.56498795,53.79747053,53.85365758,52.09251136,45.90050678,48.80666925,48.60424922,50.34538051,31.87749087,51.4033112,46.00533723,10.38863626,10.34372184,52.93254236,52.37957555,8.36411399,51.8064547,9.91240811,11.80153951,45.26849218,44.71260174,50.74944699,51.03736412,10.64538856,10.06598336,12.01585215,11.37935582,11.73136304,11.80161639,6.51328446,51.84399686,11.9726338,10.56932044,55.22056109,50.43247266,1.36601271,6.29109385,13.6042873,0.29899207,9.34965449,12.6567589,47.633689,43.1414878,12.83235989,48.68673718,47.78707207,44.25051604,9.2006765,0.18170069,0.57717856,7.49823886,47.90901072,48.28135025,40.96806398,5.35839176,9.24685411,45.80134402,46.62175093,11.10306574,10.55166053,10.58284044,10.9563328,51.42269034,46.34556527,9.95266817,12.97715081,8.26178905,10.72718215,13.684438,13.5249217,12.67263739,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
